"INFORMATION TYPE","DATE","PERIOD","USEP ($/MWh)","LCP ($/MWh)","DEMAND (MW)","SOLAR(MW)","TCL (MW)","RUSEP ($/MWh)","MAP ($/MWh)","MAPT ($/MWh)","TPC Applied"
"USEP","01-May-2026","1","300.36","0.00","6777.882","0.00","0.000","300.36","222.13","729.84","No"
"USEP","01-May-2026","2","289.28","0.00","6662.116","0.00","0.000","289.28","223.96","729.84","No"
"USEP","01-May-2026","3","227.22","0.00","6490.576","0.00","0.000","227.22","224.50","729.84","No"
"USEP","01-May-2026","4","182.66","0.00","6393.537","0.00","0.000","182.66","224.41","729.84","No"
"USEP","01-May-2026","5","182.53","0.00","6312.844","0.00","0.000","182.53","224.32","729.84","No"
"USEP","01-May-2026","6","199.62","0.00","6247.270","0.00","0.000","199.62","224.64","729.84","No"
"USEP","01-May-2026","7","169.60","0.00","6183.212","0.00","0.000","169.60","224.32","729.84","No"
"USEP","01-May-2026","8","161.85","0.00","6142.120","0.00","0.000","161.85","223.85","729.84","No"
"USEP","01-May-2026","9","167.58","0.00","6115.177","0.00","0.000","167.58","223.64","729.84","No"
"USEP","01-May-2026","10","167.55","0.00","6106.405","0.00","0.000","167.55","223.24","729.84","No"
"USEP","01-May-2026","11","174.57","0.00","6133.124","0.00","0.000","174.57","222.68","729.84","No"
"USEP","01-May-2026","12","182.94","0.00","6192.625","0.00","0.000","182.94","222.34","729.84","No"
"USEP","01-May-2026","13","177.93","0.00","6253.309","0.00","0.000","177.93","221.89","729.84","No"
"USEP","01-May-2026","14","181.96","0.00","6331.815","0.00","0.000","181.96","221.53","729.84","No"
"USEP","01-May-2026","15","213.79","0.00","6402.458","9.04","0.000","213.79","221.83","729.84","No"
"USEP","01-May-2026","16","199.43","0.00","6459.007","27.98","0.000","199.43","221.33","729.84","No"
"USEP","01-May-2026","17","181.96","0.00","6544.899","91.61","0.000","181.96","220.68","729.84","No"
"USEP","01-May-2026","18","169.40","0.00","6454.713","284.26","0.000","169.40","220.18","729.84","No"
"USEP","01-May-2026","19","167.62","0.00","6430.479","408.40","0.000","167.62","219.68","729.84","No"
"USEP","01-May-2026","20","169.46","0.00","6503.439","425.99","0.000","169.46","219.53","729.84","No"
"USEP","01-May-2026","21","161.42","0.00","6340.020","665.71","0.000","161.42","219.11","729.84","No"
"USEP","01-May-2026","22","151.40","0.00","6274.391","790.55","0.000","151.40","218.27","729.84","No"
"USEP","01-May-2026","23","166.63","0.00","6355.641","745.33","0.000","166.63","218.24","729.84","No"
"USEP","01-May-2026","24","161.40","0.00","6227.276","862.94","0.000","161.40","217.62","729.84","No"
"USEP","01-May-2026","25","213.06","0.00","6662.891","379.12","0.000","213.06","217.96","729.84","No"
"USEP","01-May-2026","26","213.04","0.00","6613.828","422.52","0.000","213.04","218.85","729.84","No"
"USEP","01-May-2026","27","155.37","0.00","6093.637","867.80","0.000","155.37","218.58","729.84","No"
"USEP","01-May-2026","28","138.86","0.00","5900.613","1035.81","0.000","138.86","217.98","729.84","No"
"USEP","01-May-2026","29","161.39","0.00","6307.810","661.94","0.000","161.39","217.84","729.84","No"
"USEP","01-May-2026","30","155.77","0.00","6218.444","704.83","0.000","155.77","217.23","729.84","No"
"USEP","01-May-2026","31","161.46","0.00","6356.819","544.11","0.000","161.46","216.49","729.84","No"
"USEP","01-May-2026","32","161.90","0.00","6454.947","473.36","0.000","161.90","214.67","729.84","No"
"USEP","01-May-2026","33","167.55","0.00","6548.378","450.88","0.000","167.55","212.92","729.84","No"
"USEP","01-May-2026","34","167.54","0.00","6573.551","444.81","0.000","167.54","203.82","729.84","No"
"USEP","01-May-2026","35","167.53","0.00","6686.076","331.68","0.000","167.53","199.73","729.84","No"
"USEP","01-May-2026","36","167.55","0.00","6736.199","265.16","0.000","167.55","195.93","729.84","No"
"USEP","01-May-2026","37","167.93","0.00","6872.645","173.80","0.000","167.93","194.09","729.84","No"
"USEP","01-May-2026","38","169.51","0.00","7016.964","77.70","0.000","169.51","192.43","729.84","No"
"USEP","01-May-2026","39","170.38","0.00","7134.688","0.99","0.000","170.38","190.65","729.84","No"
"USEP","01-May-2026","40","174.81","0.00","7179.254","0.00","0.000","174.81","188.95","729.84","No"
"USEP","01-May-2026","41","174.82","0.00","7183.583","0.00","0.000","174.82","187.13","729.84","No"
"USEP","01-May-2026","42","174.82","0.00","7169.319","0.00","0.000","174.82","185.43","729.84","No"
"USEP","01-May-2026","43","169.56","0.00","7106.369","0.00","0.000","169.56","183.77","729.84","No"
"USEP","01-May-2026","44","167.82","0.00","6985.931","0.00","0.000","167.82","182.74","729.84","No"
"USEP","01-May-2026","45","167.56","0.00","6839.943","0.00","0.000","167.56","182.09","729.84","No"
"USEP","01-May-2026","46","161.99","0.00","6707.741","0.00","0.000","161.99","181.57","729.84","No"
"USEP","01-May-2026","47","164.38","0.00","6620.815","0.00","0.000","164.38","181.32","729.84","No"
"USEP","01-May-2026","48","167.92","0.00","6597.094","0.00","0.000","167.92","178.56","729.84","No"
"USEP","02-May-2026","1","170.45","0.00","6533.393","0.00","0.000","170.45","175.85","729.84","No"
"USEP","02-May-2026","2","169.48","0.00","6370.799","0.00","0.000","169.48","173.35","729.84","No"
"USEP","02-May-2026","3","167.62","0.00","6193.967","0.00","0.000","167.62","172.11","729.84","No"
"USEP","02-May-2026","4","167.59","0.00","6112.747","0.00","0.000","167.59","171.80","729.84","No"
"USEP","02-May-2026","5","167.59","0.00","6047.953","0.00","0.000","167.59","171.49","729.84","No"
"USEP","02-May-2026","6","167.57","0.00","5992.016","0.00","0.000","167.57","170.82","729.84","No"
"USEP","02-May-2026","7","167.54","0.00","5950.382","0.00","0.000","167.54","170.78","729.84","No"
"USEP","02-May-2026","8","167.45","0.00","5916.005","0.00","0.000","167.45","170.89","729.84","No"
"USEP","02-May-2026","9","167.45","0.00","5904.415","0.00","0.000","167.45","170.89","729.84","No"
"USEP","02-May-2026","10","167.41","0.00","5901.696","0.00","0.000","167.41","170.89","729.84","No"
"USEP","02-May-2026","11","167.47","0.00","5934.329","0.00","0.000","167.47","170.74","729.84","No"
"USEP","02-May-2026","12","167.69","0.00","6006.429","0.00","0.000","167.69","170.42","729.84","No"
"USEP","02-May-2026","13","168.94","0.00","6095.934","0.00","0.000","168.94","170.23","729.84","No"
"USEP","02-May-2026","14","169.43","0.00","6199.757","0.00","0.000","169.43","169.97","729.84","No"
"USEP","02-May-2026","15","169.44","0.00","6322.923","7.83","0.000","169.44","169.05","729.84","No"
"USEP","02-May-2026","16","179.75","0.00","6472.938","26.71","0.000","179.75","168.64","729.84","No"
"USEP","02-May-2026","17","179.76","0.00","6575.737","114.26","0.000","179.76","168.59","729.84","No"
"USEP","02-May-2026","18","169.48","0.00","6530.088","299.68","0.000","169.48","168.60","729.84","No"
"USEP","02-May-2026","19","169.00","0.00","6497.306","458.60","0.000","169.00","168.62","729.84","No"
"USEP","02-May-2026","20","167.52","0.00","6406.469","666.45","0.000","167.52","168.58","729.84","No"
"USEP","02-May-2026","21","161.52","0.00","6395.172","798.86","0.000","161.52","168.59","729.84","No"
"USEP","02-May-2026","22","161.47","0.00","6476.049","814.15","0.000","161.47","168.80","729.84","No"
"USEP","02-May-2026","23","167.55","0.00","6492.574","853.47","0.000","167.55","168.81","729.84","No"
"USEP","02-May-2026","24","161.52","0.00","6341.258","983.94","0.000","161.52","168.82","729.84","No"
"USEP","02-May-2026","25","156.05","0.00","6188.888","1126.33","0.000","156.05","167.63","729.84","No"
"USEP","02-May-2026","26","161.51","0.00","6221.262","1056.96","0.000","161.51","166.56","729.84","No"
"USEP","02-May-2026","27","156.07","0.00","6265.127","1045.44","0.000","156.07","166.57","729.84","No"
"USEP","02-May-2026","28","151.66","0.00","6248.607","1103.86","0.000","151.66","166.84","729.84","No"
"USEP","02-May-2026","29","150.87","0.00","6226.729","1081.07","0.000","150.87","166.62","729.84","No"
"USEP","02-May-2026","30","140.41","0.00","6134.327","1096.52","0.000","140.41","166.30","729.84","No"
"USEP","02-May-2026","31","140.90","0.00","6177.054","1016.92","0.000","140.90","165.87","729.84","No"
"USEP","02-May-2026","32","161.39","0.00","6480.328","802.25","0.000","161.39","165.86","729.84","No"
"USEP","02-May-2026","33","161.49","0.00","6549.585","717.78","0.000","161.49","165.73","729.84","No"
"USEP","02-May-2026","34","164.28","0.00","6673.100","521.06","0.000","164.28","165.66","729.84","No"
"USEP","02-May-2026","35","167.86","0.00","6856.846","272.40","0.000","167.86","165.67","729.84","No"
"USEP","02-May-2026","36","167.83","0.00","6853.953","183.14","0.000","167.83","165.68","729.84","No"
"USEP","02-May-2026","37","167.83","0.00","6925.188","137.69","0.000","167.83","165.68","729.84","No"
"USEP","02-May-2026","38","167.88","0.00","7041.690","46.57","0.000","167.88","165.64","729.84","No"
"USEP","02-May-2026","39","167.90","0.00","7107.940","0.76","0.000","167.90","165.59","729.84","No"
"USEP","02-May-2026","40","167.88","0.00","7154.270","0.00","0.000","167.88","165.45","729.84","No"
"USEP","02-May-2026","41","169.56","0.00","7184.180","0.00","0.000","169.56","165.34","729.84","No"
"USEP","02-May-2026","42","167.97","0.00","7186.173","0.00","0.000","167.97","165.19","729.84","No"
"USEP","02-May-2026","43","169.54","0.00","7167.719","0.00","0.000","169.54","165.19","729.84","No"
"USEP","02-May-2026","44","167.93","0.00","7087.528","0.00","0.000","167.93","165.19","729.84","No"
"USEP","02-May-2026","45","167.64","0.00","6972.999","0.00","0.000","167.64","165.20","729.84","No"
"USEP","02-May-2026","46","167.61","0.00","6857.044","0.00","0.000","167.61","165.31","729.84","No"
"USEP","02-May-2026","47","167.79","0.00","6753.221","0.00","0.000","167.79","165.38","729.84","No"
"USEP","02-May-2026","48","167.79","0.00","6643.747","0.00","0.000","167.79","165.38","729.84","No"
"USEP","03-May-2026","1","167.62","0.00","6514.010","0.00","0.000","167.62","165.32","729.84","No"
"USEP","03-May-2026","2","167.52","0.00","6390.918","0.00","0.000","167.52","165.28","729.84","No"
"USEP","03-May-2026","3","167.49","0.00","6274.158","0.00","0.000","167.49","165.28","729.84","No"
"USEP","03-May-2026","4","167.47","0.00","6184.996","0.00","0.000","167.47","165.28","729.84","No"
"USEP","03-May-2026","5","167.51","0.00","6117.379","0.00","0.000","167.51","165.28","729.84","No"
"USEP","03-May-2026","6","174.82","0.00","6059.081","0.00","0.000","174.82","165.43","729.84","No"
"USEP","03-May-2026","7","169.52","0.00","6007.945","0.00","0.000","169.52","165.47","729.84","No"
"USEP","03-May-2026","8","167.58","0.00","5965.749","0.00","0.000","167.58","165.47","729.84","No"
"USEP","03-May-2026","9","164.26","0.00","5944.438","0.00","0.000","164.26","165.40","729.84","No"
"USEP","03-May-2026","10","164.23","0.00","5941.168","0.00","0.000","164.23","165.34","729.84","No"
"USEP","03-May-2026","11","167.20","0.00","5968.403","0.00","0.000","167.20","165.33","729.84","No"
"USEP","03-May-2026","12","167.41","0.00","6028.381","0.00","0.000","167.41","165.33","729.84","No"
"USEP","03-May-2026","13","167.42","0.00","6095.909","0.00","0.000","167.42","165.29","729.84","No"
"USEP","03-May-2026","14","167.53","0.00","6173.833","0.00","0.000","167.53","165.25","729.84","No"
"USEP","03-May-2026","15","167.53","0.00","6245.068","7.86","0.000","167.53","165.22","729.84","No"
"USEP","03-May-2026","16","169.40","0.00","6302.069","26.38","0.000","169.40","165.00","729.84","No"
"USEP","03-May-2026","17","167.56","0.00","6319.400","139.19","0.000","167.56","164.75","729.84","No"
"USEP","03-May-2026","18","161.44","0.00","6239.393","342.63","0.000","161.44","164.58","729.84","No"
"USEP","03-May-2026","19","161.39","0.00","6211.586","481.04","0.000","161.39","164.42","729.84","No"
"USEP","03-May-2026","20","146.91","0.00","6129.675","654.19","0.000","146.91","163.99","729.84","No"
"USEP","03-May-2026","21","140.36","0.00","6074.642","816.60","0.000","140.36","163.55","729.84","No"
"USEP","03-May-2026","22","139.41","0.00","6071.998","903.82","0.000","139.41","163.09","729.84","No"
"USEP","03-May-2026","23","130.38","0.00","6011.265","1009.08","0.000","130.38","162.32","729.84","No"
"USEP","03-May-2026","24","131.51","0.00","6050.021","979.03","0.000","131.51","161.69","729.84","No"
"USEP","03-May-2026","25","134.74","0.00","6077.092","918.48","0.000","134.74","161.25","729.84","No"
"USEP","03-May-2026","26","128.80","0.00","5965.078","1028.72","0.000","128.80","160.56","729.84","No"
"USEP","03-May-2026","27","139.13","0.00","6153.212","835.40","0.000","139.13","160.21","729.84","No"
"USEP","03-May-2026","28","161.54","0.00","6278.745","671.11","0.000","161.54","160.42","729.84","No"
"USEP","03-May-2026","29","167.55","0.00","6395.371","519.35","0.000","167.55","160.76","729.84","No"
"USEP","03-May-2026","30","183.13","0.00","6597.591","293.68","0.000","183.13","161.65","729.84","No"
"USEP","03-May-2026","31","167.57","0.00","6447.362","406.10","0.000","167.57","162.21","729.84","No"
"USEP","03-May-2026","32","183.35","0.00","6653.493","218.14","0.000","183.35","162.67","729.84","No"
"USEP","03-May-2026","33","167.55","0.00","6644.796","308.17","0.000","167.55","162.79","729.84","No"
"USEP","03-May-2026","34","167.52","0.00","6653.508","316.36","0.000","167.52","162.86","729.84","No"
"USEP","03-May-2026","35","179.84","0.00","6692.413","256.36","0.000","179.84","163.11","729.84","No"
"USEP","03-May-2026","36","179.87","0.00","6700.803","218.26","0.000","179.87","163.36","729.84","No"
"USEP","03-May-2026","37","169.60","0.00","6786.247","159.54","0.000","169.60","163.40","729.84","No"
"USEP","03-May-2026","38","223.91","0.00","6919.925","72.23","0.000","223.91","164.57","729.84","No"
"USEP","03-May-2026","39","180.45","0.00","7031.472","1.71","0.000","180.45","164.83","729.84","No"
"USEP","03-May-2026","40","183.47","0.00","7091.136","0.00","0.000","183.47","165.15","729.84","No"
"USEP","03-May-2026","41","183.66","0.00","7130.141","0.00","0.000","183.66","165.45","729.84","No"
"USEP","03-May-2026","42","227.87","0.00","7153.415","0.00","0.000","227.87","166.69","729.84","No"
"USEP","03-May-2026","43","224.01","0.00","7116.936","0.00","0.000","224.01","167.83","729.84","No"
"USEP","03-May-2026","44","180.22","0.00","7004.534","0.00","0.000","180.22","168.09","729.84","No"
"USEP","03-May-2026","45","180.13","0.00","6861.145","0.00","0.000","180.13","168.35","729.84","No"
"USEP","03-May-2026","46","175.08","0.00","6716.557","0.00","0.000","175.08","168.50","729.84","No"
"USEP","03-May-2026","47","174.84","0.00","6626.103","0.00","0.000","174.84","168.65","729.84","No"
"USEP","03-May-2026","48","183.43","0.00","6598.435","0.00","0.000","183.43","168.97","729.84","No"
"USEP","04-May-2026","1","179.89","0.00","6532.702","0.00","0.000","179.89","169.23","729.84","No"
"USEP","04-May-2026","2","169.45","0.00","6350.129","0.00","0.000","169.45","169.27","729.84","No"
"USEP","04-May-2026","3","167.52","0.00","6175.404","0.00","0.000","167.52","169.27","729.84","No"
"USEP","04-May-2026","4","167.44","0.00","6098.806","0.00","0.000","167.44","169.27","729.84","No"
"USEP","04-May-2026","5","167.43","0.00","6038.903","0.00","0.000","167.43","169.27","729.84","No"
"USEP","04-May-2026","6","167.24","0.00","5983.497","0.00","0.000","167.24","169.11","729.84","No"
"USEP","04-May-2026","7","161.13","0.00","5935.283","0.00","0.000","161.13","168.94","729.84","No"
"USEP","04-May-2026","8","161.12","0.00","5901.284","0.00","0.000","161.12","168.80","729.84","No"
"USEP","04-May-2026","9","161.11","0.00","5904.698","0.00","0.000","161.11","168.73","729.84","No"
"USEP","04-May-2026","10","164.24","0.00","5934.294","0.00","0.000","164.24","168.74","729.84","No"
"USEP","04-May-2026","11","164.23","0.00","6027.770","0.00","0.000","164.23","168.67","729.84","No"
"USEP","04-May-2026","12","167.44","0.00","6180.568","0.00","0.000","167.44","168.67","729.84","No"
"USEP","04-May-2026","13","167.52","0.00","6366.431","0.00","0.000","167.52","168.68","729.84","No"
"USEP","04-May-2026","14","167.59","0.00","6575.370","0.00","0.000","167.59","168.68","729.84","No"
"USEP","04-May-2026","15","167.79","0.00","6792.131","8.18","0.000","167.79","168.68","729.84","No"
"USEP","04-May-2026","16","178.33","0.00","7019.722","26.92","0.000","178.33","168.87","729.84","No"
"USEP","04-May-2026","17","174.83","0.00","7160.930","149.85","0.000","174.83","169.02","729.84","No"
"USEP","04-May-2026","18","168.04","0.00","7139.599","337.02","0.000","168.04","169.16","729.84","No"
"USEP","04-May-2026","19","167.67","0.00","7083.885","502.77","0.000","167.67","169.29","729.84","No"
"USEP","04-May-2026","20","161.56","0.00","6986.135","677.03","0.000","161.56","169.59","729.84","No"
"USEP","04-May-2026","21","161.79","0.00","6968.288","779.95","0.000","161.79","170.04","729.84","No"
"USEP","04-May-2026","22","167.84","0.00","7060.129","748.86","0.000","167.84","170.63","729.84","No"
"USEP","04-May-2026","23","173.14","0.00","7134.614","684.32","0.000","173.14","171.52","729.84","No"
"USEP","04-May-2026","24","213.16","0.00","7272.338","485.55","0.000","213.16","173.22","729.84","No"
"USEP","04-May-2026","25","167.90","0.00","6904.866","792.15","0.000","167.90","173.92","729.84","No"
"USEP","04-May-2026","26","161.86","0.00","6877.834","853.53","0.000","161.86","174.60","729.84","No"
"USEP","04-May-2026","27","161.51","0.00","6781.958","1033.67","0.000","161.51","175.07","729.84","No"
"USEP","04-May-2026","28","156.92","0.00","6706.891","1140.38","0.000","156.92","174.97","729.84","No"
"USEP","04-May-2026","29","155.38","0.00","6644.433","1179.14","0.000","155.38","174.72","729.84","No"
"USEP","04-May-2026","30","155.50","0.00","6689.521","1129.09","0.000","155.50","174.14","729.84","No"
"USEP","04-May-2026","31","177.63","0.00","7232.061","665.74","0.000","177.63","174.35","729.84","No"
"USEP","04-May-2026","32","178.31","0.00","7297.993","637.88","0.000","178.31","174.25","729.84","No"
"USEP","04-May-2026","33","227.74","0.00","7465.283","447.43","0.000","227.74","175.50","729.84","No"
"USEP","04-May-2026","34","190.24","0.00","7436.203","337.22","0.000","190.24","175.98","729.84","No"
"USEP","04-May-2026","35","167.90","0.00","7304.697","346.01","0.000","167.90","175.73","729.84","No"
"USEP","04-May-2026","36","167.59","0.00","7194.304","346.13","0.000","167.59","175.47","729.84","No"
"USEP","04-May-2026","37","167.86","0.00","7278.321","218.88","0.000","167.86","175.44","729.84","No"
"USEP","04-May-2026","38","172.25","0.00","7422.456","79.75","0.000","172.25","174.36","729.84","No"
"USEP","04-May-2026","39","172.90","0.00","7505.038","2.10","0.000","172.90","174.20","729.84","No"
"USEP","04-May-2026","40","178.36","0.00","7522.512","0.00","0.000","178.36","174.10","729.84","No"
"USEP","04-May-2026","41","167.95","0.00","7514.039","0.00","0.000","167.95","173.77","729.84","No"
"USEP","04-May-2026","42","167.87","0.00","7475.745","0.00","0.000","167.87","172.52","729.84","No"
"USEP","04-May-2026","43","161.99","0.00","7395.037","0.00","0.000","161.99","171.23","729.84","No"
"USEP","04-May-2026","44","161.82","0.00","7243.074","0.00","0.000","161.82","170.84","729.84","No"
"USEP","04-May-2026","45","167.65","0.00","7062.623","0.00","0.000","167.65","170.58","729.84","No"
"USEP","04-May-2026","46","161.62","0.00","6908.623","0.00","0.000","161.62","170.30","729.84","No"
"USEP","04-May-2026","47","167.67","0.00","6765.184","0.00","0.000","167.67","170.15","729.84","No"
"USEP","04-May-2026","48","161.48","0.00","6532.951","0.00","0.000","161.48","169.70","729.84","No"
"USEP","05-May-2026","1","161.09","0.00","6305.901","0.00","0.000","161.09","169.30","729.84","No"
"USEP","05-May-2026","2","160.89","0.00","6186.358","0.00","0.000","160.89","169.13","729.84","No"
"USEP","05-May-2026","3","164.30","0.00","6185.314","0.00","0.000","164.30","169.06","729.84","No"
"USEP","05-May-2026","4","167.78","0.00","6112.419","0.00","0.000","167.78","169.07","729.84","No"
"USEP","05-May-2026","5","169.04","0.00","6045.771","0.00","0.000","169.04","169.10","729.84","No"
"USEP","05-May-2026","6","174.22","0.00","5992.110","0.00","0.000","174.22","169.24","729.84","No"
"USEP","05-May-2026","7","167.11","0.00","5954.945","0.00","0.000","167.11","169.37","729.84","No"
"USEP","05-May-2026","8","166.74","0.00","5931.173","0.00","0.000","166.74","169.49","729.84","No"
"USEP","05-May-2026","9","151.12","0.00","5936.720","0.00","0.000","151.12","169.28","729.84","No"
"USEP","05-May-2026","10","167.30","0.00","5973.488","0.00","0.000","167.30","169.34","729.84","No"
"USEP","05-May-2026","11","167.58","0.00","6060.731","0.00","0.000","167.58","169.41","729.84","No"
"USEP","05-May-2026","12","167.09","0.00","6228.971","0.00","0.000","167.09","169.40","729.84","No"
"USEP","05-May-2026","13","168.01","0.00","6426.016","0.00","0.000","168.01","169.41","729.84","No"
"USEP","05-May-2026","14","174.71","0.00","6634.552","0.00","0.000","174.71","169.56","729.84","No"
"USEP","05-May-2026","15","169.52","0.00","6840.390","8.18","0.000","169.52","169.60","729.84","No"
"USEP","05-May-2026","16","176.44","0.00","7053.151","27.66","0.000","176.44","169.56","729.84","No"
"USEP","05-May-2026","17","167.72","0.00","7193.891","105.08","0.000","167.72","169.41","729.84","No"
"USEP","05-May-2026","18","167.45","0.00","7191.173","267.27","0.000","167.45","169.40","729.84","No"
"USEP","05-May-2026","19","167.05","0.00","7097.841","470.59","0.000","167.05","169.39","729.84","No"
"USEP","05-May-2026","20","154.98","0.00","6965.430","660.40","0.000","154.98","169.25","729.84","No"
"USEP","05-May-2026","21","154.07","0.00","6799.994","879.91","0.000","154.07","169.09","729.84","No"
"USEP","05-May-2026","22","151.00","0.00","6781.823","933.84","0.000","151.00","168.74","729.84","No"
